"src_subject_id","DeviceSerialNumber"
"NDAR_INV007W6H7B","anon12ee"
"NDAR_INV00CY2MDM","anon224d"
"NDAR_INV00HEV6HB","anonefd2"
"NDAR_INV00LJVZK2","anondc7b"
"NDAR_INV00NPMHND","anond450"
"NDAR_INV00X2TBWJ","anon3eba"
"NDAR_INV014RTM1V","anond450"
"NDAR_INV019DXLU4","anon1364"
"NDAR_INV01EN91PG","anon1364"
"NDAR_INV01NAYMZH","anon0bd7"
"NDAR_INV028D3ELL","anonb2d4"
"NDAR_INV02EBX0JJ","anon2565"
"NDAR_INV02H7G2T6","anond450"
"NDAR_INV02RCED7D","anonfaf6"
"NDAR_INV030W95VP","anon1364"
"NDAR_INV03BDCNWM","anonbcc2"
"NDAR_INV03CV8RDT","anonc805"
"NDAR_INV03NW0RKL","anond450"
"NDAR_INV03XVEBPM","anon12da"
"NDAR_INV042UJKFB","anon3eba"
"NDAR_INV04EUBGTM","anon7a3b"
"NDAR_INV05CA3VX5","anon7353"
"NDAR_INV05T64PXD","anond450"
"NDAR_INV05WK8AN7","anon8928"
"NDAR_INV07924XF1","anonbcc2"
"NDAR_INV07CMT243","anon3255"
"NDAR_INV07RAHHYH","anon12da"
"NDAR_INV07RPB2TU","anon02a4"
"NDAR_INV07XXFHDK","anonfaf6"
"NDAR_INV08AT7TLH","anonfaf6"
"NDAR_INV08EFDKZ6","anon1364"
"NDAR_INV08FUB58A","anon239d"
"NDAR_INV08K0R9C4","anondc7b"
"NDAR_INV08P1JKNE","anond450"
"NDAR_INV08R2PTT1","anonbe03"
"NDAR_INV09T2EBX4","anonbcc2"
"NDAR_INV09ZE6UUK","anon7a3b"
"NDAR_INV0A4ZDYNL","anon02a4"
"NDAR_INV0A6WVRZY","anon0982"
"NDAR_INV0A9K5L4R","anon3eba"
"NDAR_INV0AEBMADL","anon02a4"
"NDAR_INV0APJMRD1","anonbe03"
"NDAR_INV0AU5R8NA","anon1364"
"NDAR_INV0B7UGM1D","anon02a4"
"NDAR_INV0BKE31EY","anonc805"
"NDAR_INV0BXXNBH4","anon0bd7"
"NDAR_INV0C1ED337","anondc7b"
