nda,abcd,instrument
smri_visitid,smri_visitid,abcd_smrip101
smri_thick_cdk_banksstslh,smri_thick_cort.desikan_bankssts.lh,abcd_smrip101
smri_thick_cdk_cdacatelh,smri_thick_cort.desikan_caudalanteriorcingulate.lh,abcd_smrip101
smri_thick_cdk_cdmdfrlh,smri_thick_cort.desikan_caudalmiddlefrontal.lh,abcd_smrip101
smri_thick_cdk_cuneuslh,smri_thick_cort.desikan_cuneus.lh,abcd_smrip101
smri_thick_cdk_ehinallh,smri_thick_cort.desikan_entorhinal.lh,abcd_smrip101
smri_thick_cdk_fusiformlh,smri_thick_cort.desikan_fusiform.lh,abcd_smrip101
smri_thick_cdk_ifpllh,smri_thick_cort.desikan_inferiorparietal.lh,abcd_smrip101
smri_thick_cdk_iftmlh,smri_thick_cort.desikan_inferiortemporal.lh,abcd_smrip101
smri_thick_cdk_ihcatelh,smri_thick_cort.desikan_isthmuscingulate.lh,abcd_smrip101
smri_thick_cdk_locclh,smri_thick_cort.desikan_lateraloccipital.lh,abcd_smrip101
smri_thick_cdk_lobfrlh,smri_thick_cort.desikan_lateralorbitofrontal.lh,abcd_smrip101
smri_thick_cdk_linguallh,smri_thick_cort.desikan_lingual.lh,abcd_smrip101
smri_thick_cdk_mobfrlh,smri_thick_cort.desikan_medialorbitofrontal.lh,abcd_smrip101
smri_thick_cdk_mdtmlh,smri_thick_cort.desikan_middletemporal.lh,abcd_smrip101
smri_thick_cdk_parahpallh,smri_thick_cort.desikan_parahippocampal.lh,abcd_smrip101
smri_thick_cdk_paracnlh,smri_thick_cort.desikan_paracentral.lh,abcd_smrip101
smri_thick_cdk_parsopclh,smri_thick_cort.desikan_parsopercularis.lh,abcd_smrip101
smri_thick_cdk_parsobislh,smri_thick_cort.desikan_parsorbitalis.lh,abcd_smrip101
smri_thick_cdk_parstgrislh,smri_thick_cort.desikan_parstriangularis.lh,abcd_smrip101
smri_thick_cdk_pericclh,smri_thick_cort.desikan_pericalcarine.lh,abcd_smrip101
smri_thick_cdk_postcnlh,smri_thick_cort.desikan_postcentral.lh,abcd_smrip101
smri_thick_cdk_ptcatelh,smri_thick_cort.desikan_posteriorcingulate.lh,abcd_smrip101
smri_thick_cdk_precnlh,smri_thick_cort.desikan_precentral.lh,abcd_smrip101
smri_thick_cdk_pclh,smri_thick_cort.desikan_precuneus.lh,abcd_smrip101
smri_thick_cdk_rracatelh,smri_thick_cort.desikan_rostralanteriorcingulate.lh,abcd_smrip101
smri_thick_cdk_rrmdfrlh,smri_thick_cort.desikan_rostralmiddlefrontal.lh,abcd_smrip101
smri_thick_cdk_sufrlh,smri_thick_cort.desikan_superiorfrontal.lh,abcd_smrip101
smri_thick_cdk_supllh,smri_thick_cort.desikan_superiorparietal.lh,abcd_smrip101
smri_thick_cdk_sutmlh,smri_thick_cort.desikan_superiortemporal.lh,abcd_smrip101
smri_thick_cdk_smlh,smri_thick_cort.desikan_supramarginal.lh,abcd_smrip101
smri_thick_cdk_frpolelh,smri_thick_cort.desikan_frontalpole.lh,abcd_smrip101
smri_thick_cdk_tmpolelh,smri_thick_cort.desikan_temporalpole.lh,abcd_smrip101
smri_thick_cdk_trvtmlh,smri_thick_cort.desikan_transversetemporal.lh,abcd_smrip101
smri_thick_cdk_insulalh,smri_thick_cort.desikan_insula.lh,abcd_smrip101
smri_thick_cdk_banksstsrh,smri_thick_cort.desikan_bankssts.rh,abcd_smrip101
smri_thick_cdk_cdacaterh,smri_thick_cort.desikan_caudalanteriorcingulate.rh,abcd_smrip101
smri_thick_cdk_cdmdfrrh,smri_thick_cort.desikan_caudalmiddlefrontal.rh,abcd_smrip101
smri_thick_cdk_cuneusrh,smri_thick_cort.desikan_cuneus.rh,abcd_smrip101
smri_thick_cdk_ehinalrh,smri_thick_cort.desikan_entorhinal.rh,abcd_smrip101
smri_thick_cdk_fusiformrh,smri_thick_cort.desikan_fusiform.rh,abcd_smrip101
smri_thick_cdk_ifplrh,smri_thick_cort.desikan_inferiorparietal.rh,abcd_smrip101
smri_thick_cdk_iftmrh,smri_thick_cort.desikan_inferiortemporal.rh,abcd_smrip101
smri_thick_cdk_ihcaterh,smri_thick_cort.desikan_isthmuscingulate.rh,abcd_smrip101
smri_thick_cdk_loccrh,smri_thick_cort.desikan_lateraloccipital.rh,abcd_smrip101
smri_thick_cdk_lobfrrh,smri_thick_cort.desikan_lateralorbitofrontal.rh,abcd_smrip101
smri_thick_cdk_lingualrh,smri_thick_cort.desikan_lingual.rh,abcd_smrip101
smri_thick_cdk_mobfrrh,smri_thick_cort.desikan_medialorbitofrontal.rh,abcd_smrip101
smri_thick_cdk_mdtmrh,smri_thick_cort.desikan_middletemporal.rh,abcd_smrip101
smri_thick_cdk_parahpalrh,smri_thick_cort.desikan_parahippocampal.rh,abcd_smrip101
smri_thick_cdk_paracnrh,smri_thick_cort.desikan_paracentral.rh,abcd_smrip101
smri_thick_cdk_parsopcrh,smri_thick_cort.desikan_parsopercularis.rh,abcd_smrip101
smri_thick_cdk_parsobisrh,smri_thick_cort.desikan_parsorbitalis.rh,abcd_smrip101
smri_thick_cdk_parstgrisrh,smri_thick_cort.desikan_parstriangularis.rh,abcd_smrip101
smri_thick_cdk_periccrh,smri_thick_cort.desikan_pericalcarine.rh,abcd_smrip101
smri_thick_cdk_postcnrh,smri_thick_cort.desikan_postcentral.rh,abcd_smrip101
smri_thick_cdk_ptcaterh,smri_thick_cort.desikan_posteriorcingulate.rh,abcd_smrip101
smri_thick_cdk_precnrh,smri_thick_cort.desikan_precentral.rh,abcd_smrip101
smri_thick_cdk_pcrh,smri_thick_cort.desikan_precuneus.rh,abcd_smrip101
smri_thick_cdk_rracaterh,smri_thick_cort.desikan_rostralanteriorcingulate.rh,abcd_smrip101
smri_thick_cdk_rrmdfrrh,smri_thick_cort.desikan_rostralmiddlefrontal.rh,abcd_smrip101
smri_thick_cdk_sufrrh,smri_thick_cort.desikan_superiorfrontal.rh,abcd_smrip101
smri_thick_cdk_suplrh,smri_thick_cort.desikan_superiorparietal.rh,abcd_smrip101
smri_thick_cdk_sutmrh,smri_thick_cort.desikan_superiortemporal.rh,abcd_smrip101
smri_thick_cdk_smrh,smri_thick_cort.desikan_supramarginal.rh,abcd_smrip101
smri_thick_cdk_frpolerh,smri_thick_cort.desikan_frontalpole.rh,abcd_smrip101
smri_thick_cdk_tmpolerh,smri_thick_cort.desikan_temporalpole.rh,abcd_smrip101
smri_thick_cdk_trvtmrh,smri_thick_cort.desikan_transversetemporal.rh,abcd_smrip101
smri_thick_cdk_insularh,smri_thick_cort.desikan_insula.rh,abcd_smrip101
smri_thick_cf2_frlh,smri_thick_cort.fuzzy2_frontal.lh,abcd_smrip101
smri_thick_cf2_ptlh,smri_thick_cort.fuzzy2_posterior.lh,abcd_smrip101
smri_thick_cf4_frlh,smri_thick_cort.fuzzy4_frontal.lh,abcd_smrip101
smri_thick_cf4_occlh,smri_thick_cort.fuzzy4_occipital.lh,abcd_smrip101
smri_thick_cf4_tmlh,smri_thick_cort.fuzzy4_temporal.lh,abcd_smrip101
smri_thick_cf4_pllh,smri_thick_cort.fuzzy4_parietal.lh,abcd_smrip101
smri_thick_cf12_cnlh,smri_thick_cort.fuzzy12_central.lh,abcd_smrip101
smri_thick_cf12_occlh,smri_thick_cort.fuzzy12_occipital.lh,abcd_smrip101
smri_thick_cf12_ptoltmlh,smri_thick_cort.fuzzy12_posterolateraltemporal.lh,abcd_smrip101
smri_thick_cf12_supllh,smri_thick_cort.fuzzy12_superiorparietal.lh,abcd_smrip101
smri_thick_cf12_obfrlh,smri_thick_cort.fuzzy12_orbitofrontal.lh,abcd_smrip101
smri_thick_cf12_sutmlh,smri_thick_cort.fuzzy12_superiortemporal.lh,abcd_smrip101
smri_thick_cf12_ifpllh,smri_thick_cort.fuzzy12_inferiorparietal.lh,abcd_smrip101
smri_thick_cf12_dmfrlh,smri_thick_cort.fuzzy12_dorsomedialfrontal.lh,abcd_smrip101
smri_thick_cf12_aomtmlh,smri_thick_cort.fuzzy12_anteromedialtemporal.lh,abcd_smrip101
