abcd,nda,instrument
q11k_full_sib_young1_professional,q11k_full_sib_young1_prof,fhxp201
q11k_full_sib_young2_professional,q11k_full_sib_young2_prof,fhxp201
q11k_full_sib_young3_professional,q11k_full_sib_young3_prof,fhxp201
q11k_full_sib_young4_professional,q11k_full_sib_young4_prof,fhxp201
q11k_full_sib_young5_professional,q11k_full_sib_young5_prof,fhxp201
q11l_full_sib_old1_professional,q11l_full_sib_old1_prof,fhxp201
q11l_full_sib_old2_professional,q11l_full_sib_old2_prof,fhxp201
q11l_full_sib_old3_professional,q11l_full_sib_old3_prof,fhxp201
q11l_full_sib_old4_professional,q11l_full_sib_old4_prof,fhxp201
q11l_full_sib_old5_professional,q11l_full_sib_old5_prof,fhxp201
q11m_full_sib_same1_professional,q11m_full_sib_same1_prof,fhxp201
q11m_full_sib_same2_professional,q11m_full_sib_same2_prof,fhxp201
q11m_half_sib_young1_professional,q11m_half_sib_young1_prof,fhxp201
q11m_half_sib_young2_professional,q11m_half_sib_young2_prof,fhxp201
q11m_half_sib_young3_professional,q11m_half_sib_young3_prof,fhxp201
q11m_half_sib_young4_professional,q11m_half_sib_young4_prof,fhxp201
q11m_half_sib_young5_professional,q11m_half_sib_young5_prof,fhxp201
q11n_half_sib_old1_professional,q11n_half_sib_old1_prof,fhxp201
q11n_half_sib_old2_professional,q11n_half_sib_old2_prof,fhxp201
q11n_half_sib_old3_professional,q11n_half_sib_old3_prof,fhxp201
q11n_half_sib_old4_professional,q11n_half_sib_old4_prof,fhxp201
q11n_half_sib_old5_professional,q11n_half_sib_old5_prof,fhxp201
q12k_full_sib_young1_hospitalized,q12k_full_sib_young1_hosp,fhxp201
q12k_full_sib_young2_hospitalized,q12k_full_sib_young2_hosp,fhxp201
q12k_full_sib_young3_hospitalized,q12k_full_sib_young3_hosp,fhxp201
q12k_full_sib_young4_hospitalized,q12k_full_sib_young4_hosp,fhxp201
q12k_full_sib_young5_hospitalized,q12k_full_sib_young5_hosp,fhxp201
q12l_full_sib_old1_hospitalized,q12l_full_sib_old1_hosp,fhxp201
q12l_full_sib_old2_hospitalized,q12l_full_sib_old2_hosp,fhxp201
q12l_full_sib_old3_hospitalized,q12l_full_sib_old3_hosp,fhxp201
q12l_full_sib_old4_hospitalized,q12l_full_sib_old4_hosp,fhxp201
q12l_full_sib_old5_hospitalized,q12l_full_sib_old5_hosp,fhxp201
q12m_full_sib_same1_hospitalized,q12m_full_sib_same1_hosp,fhxp201
q12m_full_sib_same2_hospitalized,q12m_full_sib_same2_hosp,fhxp201
q12m_half_sib_young1_hospitalized,q12m_half_sib_young1_hosp,fhxp201
q12m_half_sib_young2_hospitalized,q12m_half_sib_young2_hosp,fhxp201
q12m_half_sib_young3_hospitalized,q12m_half_sib_young3_hosp,fhxp201
q12m_half_sib_young4_hospitalized,q12m_half_sib_young4_hosp,fhxp201
q12m_half_sib_young5_hospitalized,q12m_half_sib_young5_hosp,fhxp201
q12n_half_sib_old1_hospitalized,q12n_half_sib_old1_hosp,fhxp201
q12n_half_sib_old2_hospitalized,q12n_half_sib_old2_hosp,fhxp201
q12n_half_sib_old3_hospitalized,q12n_half_sib_old3_hosp,fhxp201
q12n_half_sib_old4_hospitalized,q12n_half_sib_old4_hosp,fhxp201
q12n_half_sib_old5_hospitalized,q12n_half_sib_old5_hosp,fhxp201
beh_mid_large_loss_total_bothruns_numtrials,beh_mid_lg_loss_total,abcd_mid01
beh_mid_large_reward_pos_feedback_bothruns_numtrials,beh_mid_lg_rwd_pos_fdbk_ct,abcd_mid01
beh_mid_large_reward_total_run_1_numtrials,beh_mid_lg_rwd_run_1_total,abcd_mid01
beh_mid_large_reward_total_run_2_numtrials,beh_mid_lg_rwd_run_2_total,abcd_mid01
beh_mid_large_reward_total_bothruns_numtrials,beh_mid_lg_rwd_total,abcd_mid01
beh_mid_hiloloss_pos_feedback_bothruns_numtrials,beh_mid_loss_pos_fdbk_ct,abcd_mid01
beh_mid_hiloloss_total_run_1_numtrials,beh_mid_loss_run_1_total,abcd_mid01
beh_mid_hiloloss_total_run_2_numtrials,beh_mid_loss_run_2_total,abcd_mid01
beh_mid_hiloloss_total_bothruns_numtrials,beh_mid_loss_total,abcd_mid01
beh_mid_earnings_run_1,beh_mid_money_run_1,abcd_mid01
beh_mid_earnings_run_2,beh_mid_money_run_2,abcd_mid01
beh_mid_earnings_total,beh_mid_money_total,abcd_mid01
beh_mid_neutral_pos_feedback_bothruns_numtrials,beh_mid_ntl_pos_fdbk_ct,abcd_mid01
beh_mid_neutral_pos_feedback_bothruns_rate,beh_mid_ntl_pos_fdbk_rate,abcd_mid01
beh_mid_neutral_pos_feedback_bothruns_mean_rt,beh_mid_ntl_pos_fdbk_rt,abcd_mid01
beh_mid_neutral_total_run_1_numtrials,beh_mid_ntl_run_1_total,abcd_mid01
beh_mid_neutral_total_run_2_numtrials,beh_mid_ntl_run_2_total,abcd_mid01
beh_mid_neutral_total_bothruns_numtrials,beh_mid_ntl_total,abcd_mid01
beh_mid_hiloreward_pos_feedback_bothruns_numtrials,beh_mid_rwd_pos_fdbk_ct,abcd_mid01
beh_mid_hiloreward_total_run_1_numtrials,beh_mid_rwd_run_1_total,abcd_mid01
beh_mid_hiloreward_total_run_2_numtrials,beh_mid_rwd_run_2_total,abcd_mid01
beh_mid_hiloreward_total_bothruns_numtrials,beh_mid_rwd_total,abcd_mid01
beh_mid_small_loss_total_bothruns_numtrials,beh_mid_sm_loss_total,abcd_mid01
beh_mid_small_reward_total_bothruns_numtrials,beh_mid_sm_rwd_total,abcd_mid01
beh_mid_visit_id,beh_mid_visitid,abcd_mid01
beh_mid_hiloloss_neg_feedback_bothruns_mean_rt,behmidhlnegfbbrunsmnrt,abcd_mid01
beh_mid_hiloloss_neg_feedback_bothruns_std_rt,behmidhlnegfbbrunsstdrt,abcd_mid01
beh_mid_hiloloss_neg_feedback_run_1_mean_rt,behmidhlnegfbrun1mnrt,abcd_mid01
beh_mid_hiloloss_neg_feedback_run_1_std_rt,behmidhlnegfbrun1stdrt,abcd_mid01
beh_mid_hiloloss_neg_feedback_run_2_mean_rt,behmidhlnegfbrun2mnrt,abcd_mid01
beh_mid_hiloloss_neg_feedback_run_2_std_rt,behmidhlnegfbrun2stdrt,abcd_mid01
beh_mid_hiloloss_total_bothruns_mean_rt,behmidhltlbrunsmnrt,abcd_mid01
beh_mid_hiloloss_total_bothruns_std_rt,behmidhltlbrunsstdrt,abcd_mid01
beh_mid_hiloloss_total_run_1_mean_rt,behmidhltlrun1mnrt,abcd_mid01
beh_mid_hiloloss_total_run_1_std_rt,behmidhltlrun1stdrt,abcd_mid01
beh_mid_hiloloss_total_run_2_mean_rt,behmidhltlrun2mnrt,abcd_mid01
beh_mid_hiloloss_total_run_2_std_rt,behmidhltlrun2stdrt,abcd_mid01
beh_mid_hiloreward_neg_feedback_bothruns_mean_rt,behmidhrwnegfbbrunsmnrt,abcd_mid01
beh_mid_hiloreward_neg_feedback_bothruns_std_rt,behmidhrwnegfbbrunsstdrt,abcd_mid01
beh_mid_hiloreward_neg_feedback_run_1_mean_rt,behmidhrwnegfbrun1mnrt,abcd_mid01
beh_mid_hiloreward_neg_feedback_run_1_std_rt,behmidhrwnegfbrun1stdrt,abcd_mid01
beh_mid_hiloreward_neg_feedback_run_2_mean_rt,behmidhrwnegfbrun2mnrt,abcd_mid01
beh_mid_hiloreward_neg_feedback_run_2_std_rt,behmidhrwnegfbrun2stdrt,abcd_mid01
beh_mid_hiloreward_total_bothruns_mean_rt,behmidhrwtlbrunsmnrt,abcd_mid01
beh_mid_hiloreward_total_bothruns_std_rt,behmidhrwtlbrunsstdrt,abcd_mid01
beh_mid_hiloreward_total_run_1_mean_rt,behmidhrwtlrun1mnrt,abcd_mid01
beh_mid_hiloreward_total_run_1_std_rt,behmidhrwtlrun1stdrt,abcd_mid01
beh_mid_hiloreward_total_run_2_mean_rt,behmidhrwtlrun2mnrt,abcd_mid01
beh_mid_hiloreward_total_run_2_std_rt,behmidhrwtlrun2stdrt,abcd_mid01
