abcd,nda,instrument
dmri_rsi_visitid,visit,mri_rsi01
dmri_rsi_manufacturer,scanner_manufacturer_pd,mri_rsi01
dmri_rsi_manufacturersmodelname,scanner_type_pd,mri_rsi01
dmri_rsi_deviceserialnumber,deviceserialnumber,mri_rsi01
dmri_rsi_magneticfieldstrength,magnetic_field_strength,mri_rsi01
dmri_rsi_mmpsversion,pipeline_version,mri_rsi01
dmri_rsi_procdate,procdate,mri_rsi01
dmri_rsi_meanmotion,dti_mean_motion,mri_rsi01
dmri_rsi_meantrans,dti_mean_trans,mri_rsi01
dmri_rsi_meanrot,dti_mean_rot,mri_rsi01
dmri_rsi.n0_fiber.at_fx.rh,mri_rsi_fiber_n0_r_fx,mri_rsi01
dmri_rsi.n0_fiber.at_fx.lh,mri_rsi_fiber_n0_l_fx,mri_rsi01
dmri_rsi.n0_fiber.at_cgc.rh,mri_rsi_fiber_n0_r_cgc,mri_rsi01
dmri_rsi.n0_fiber.at_cgc.lh,mri_rsi_fiber_n0_l_cgc,mri_rsi01
dmri_rsi.n0_fiber.at_cgh.rh,mri_rsi_fiber_n0_r_cgh,mri_rsi01
dmri_rsi.n0_fiber.at_cgh.lh,mri_rsi_fiber_n0_l_cgh,mri_rsi01
dmri_rsi.n0_fiber.at_cst.rh,mri_rsi_fiber_n0_r_cst,mri_rsi01
dmri_rsi.n0_fiber.at_cst.lh,mri_rsi_fiber_n0_l_cst,mri_rsi01
dmri_rsi.n0_fiber.at_atr.rh,mri_rsi_fiber_n0_r_atr,mri_rsi01
dmri_rsi.n0_fiber.at_atr.lh,mri_rsi_fiber_n0_l_atr,mri_rsi01
dmri_rsi.n0_fiber.at_unc.rh,mri_rsi_fiber_n0_r_unc,mri_rsi01
dmri_rsi.n0_fiber.at_unc.lh,mri_rsi_fiber_n0_l_unc,mri_rsi01
dmri_rsi.n0_fiber.at_ilf.rh,mri_rsi_fiber_n0_r_ilf,mri_rsi01
dmri_rsi.n0_fiber.at_ilf.lh,mri_rsi_fiber_n0_l_ilf,mri_rsi01
dmri_rsi.n0_fiber.at_ifo.rh,mri_rsi_fiber_n0_r_ifo,mri_rsi01
dmri_rsi.n0_fiber.at_ifo.lh,mri_rsi_fiber_n0_l_ifo,mri_rsi01
dmri_rsi.n0_fiber.at_fmaj,mri_rsi_fiber_n0_fmaj,mri_rsi01
dmri_rsi.n0_fiber.at_fmin,mri_rsi_fiber_n0_fmin,mri_rsi01
dmri_rsi.n0_fiber.at_cc,mri_rsi_fiber_n0_cc,mri_rsi01
dmri_rsi.n0_fiber.at_slf.rh,mri_rsi_fiber_n0_r_slf,mri_rsi01
dmri_rsi.n0_fiber.at_slf.lh,mri_rsi_fiber_n0_l_slf,mri_rsi01
dmri_rsi.n0_fiber.at_tslf.rh,mri_rsi_fiber_n0_r_tslf,mri_rsi01
dmri_rsi.n0_fiber.at_tslf.lh,mri_rsi_fiber_n0_l_tslf,mri_rsi01
dmri_rsi.n0_fiber.at_pslf.rh,mri_rsi_fiber_n0_r_pslf,mri_rsi01
