abcd,nda,instrument
smri_thick_cort.desikan_bankssts.lh,ct_lh_bankssts,freesvol01
smri_thick_cort.desikan_caudalanteriorcingulate.lh,ct_lh_caudalanteriorcing,freesvol01
smri_thick_cort.desikan_caudalmiddlefrontal.lh,ct_lh_caudalmiddlefront,freesvol01
smri_thick_cort.desikan_cuneus.lh,ct_lh_cuneus,freesvol01
smri_thick_cort.desikan_entorhinal.lh,ct_lh_entorhinal,freesvol01
smri_thick_cort.desikan_fusiform.lh,ct_lh_fusiform,freesvol01
smri_thick_cort.desikan_inferiorparietal.lh,ct_lh_inferiorpariet,freesvol01
smri_thick_cort.desikan_inferiortemporal.lh,ct_lh_inferiortemp,freesvol01
smri_thick_cort.desikan_isthmuscingulate.lh,ct_lh_isthmuscing,freesvol01
smri_thick_cort.desikan_lateraloccipital.lh,ct_lh_ltr_occipital,freesvol01
smri_thick_cort.desikan_lateralorbitofrontal.lh,ct_lh_ltr_orbitofront,freesvol01
smri_thick_cort.desikan_lingual.lh,ct_lh_lingual,freesvol01
smri_thick_cort.desikan_medialorbitofrontal.lh,ct_lh_medialorbitofront,freesvol01
smri_thick_cort.desikan_middletemporal.lh,ct_lh_middletemp,freesvol01
smri_thick_cort.desikan_parahippocampal.lh,ct_lh_parahippocampal,freesvol01
smri_thick_cort.desikan_paracentral.lh,ct_lh_paracentral,freesvol01
smri_thick_cort.desikan_parsopercularis.lh,ct_lh_parsopercularis,freesvol01
smri_thick_cort.desikan_parsorbitalis.lh,ct_lh_parsorbitalis,freesvol01
smri_thick_cort.desikan_parstriangularis.lh,ct_lh_parstriangularis,freesvol01
smri_thick_cort.desikan_pericalcarine.lh,ct_lh_pericalcarine,freesvol01
smri_thick_cort.desikan_postcentral.lh,ct_lh_postcentral,freesvol01
smri_thick_cort.desikan_posteriorcingulate.lh,ct_lh_posteriorcing,freesvol01
smri_thick_cort.desikan_precentral.lh,ct_lh_precentral,freesvol01
smri_thick_cort.desikan_precuneus.lh,ct_lh_precuneus,freesvol01
smri_thick_cort.desikan_rostralanteriorcingulate.lh,ct_lh_rostralanteriorcing,freesvol01
smri_thick_cort.desikan_rostralmiddlefrontal.lh,ct_lh_rostralmiddlefront,freesvol01
smri_thick_cort.desikan_superiorfrontal.lh,ct_lh_superiorfront,freesvol01
smri_thick_cort.desikan_superiorparietal.lh,ct_lh_superiorpariet,freesvol01
smri_thick_cort.desikan_superiortemporal.lh,ct_lh_superiortemp,freesvol01
smri_thick_cort.desikan_supramarginal.lh,ct_lh_supramarginal,freesvol01
smri_thick_cort.desikan_frontalpole.lh,ct_lh_frontpole,freesvol01
smri_thick_cort.desikan_temporalpole.lh,ct_lh_temppole,freesvol01
smri_thick_cort.desikan_transversetemporal.lh,ct_lh_transversetemp,freesvol01
smri_thick_cort.desikan_bankssts.rh,ct_rh_bankssts,freesvol01
smri_thick_cort.desikan_caudalanteriorcingulate.rh,ct_rh_caudalanteriorcing,freesvol01
