abcd,nda,instrument
tfmri_mid_all_visitid,visit,midaparc01
tfmri_nback_all_visit,visit,nback_bwroi01
tfmri_sst_all_visit,visit,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_ventraldc.rh,ssticrspvscrgobtvldc,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_thalamus.proper.rh,ssticrspvscrgobttpr,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_putamen.rh,ssticrspvscrgobtputamen,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_pallidum.rh,ssticrspvscrgobtpallidum,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_lateral.ventricle.rh,ssticrspvscrgobtltvnt,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_inf.lat.vent.rh,ssticrspvscrgobtinflatvent,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_hippocampus.rh,ssticrspvscrgobthmp,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_cerebral.white.matter.rh,ssticrspvscrgobtclwm,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_cerebellum.white.matter.rh,ssticrspvscrgobtcbmwm,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_cerebellum.cortex.rh,ssticrspvscrgobtcbmcx,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_caudate.rh,ssticrspvscrgobtcaudate,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_amygdala.rh,ssticrspvscrgobtay,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_accumbens.area.rh,ssticrspvscrgobtaa,sstroi01
tfmri_sst_all_incorrect.stop.vs.correct.go_beta_subcort.aseg_ventraldc.lh,ssticrspvscrgobleftvldc,sstroi01
